Omitted_Symbol,Remaining_Completed,Mean_Base_Net_R,Base_R_PF
BANKINDIA,824,-0.014228250030585822,0.9753663355523932
BBTC,823,-0.012287122253589754,0.9786806684411349
BDL,823,-0.013857765985540369,0.9760207999618856
BEL,823,-0.013350492083727456,0.9768782808335508
BEML,819,-0.013019437461607827,0.9774584359771898
BHARATFORG,824,-0.01832521628755684,0.9682844574154092
BHARTIARTL,824,-0.013070381008783159,0.9773255239883513
BHEL,822,-0.02106423906751217,0.9636325025204452
BIKAJI,820,-0.012415373562934352,0.9784859543033789
BIOCON,822,-0.01167107235155097,0.9797520381557958
BLS,824,-0.018323131546125884,0.9682880654877284
BLUESTARCO,821,-0.014477822541142125,0.9750135633848022
BOSCHLTD,823,-0.013390387233917566,0.9768107886622026
BPCL,821,-0.013119815266024518,0.9772556300172014
BRIGADE,823,-0.015641456295973587,0.9729568436177453
BSE,823,-0.014489982541863854,0.9748967543733975
BSOFT,822,-0.017320995583361833,0.970071265149975
CAMS,823,-0.012267495696460119,0.9787139975212147
CANBK,819,-0.03091282588787135,0.9467116107979415
CAPLIPOINT,821,-0.013383252235967697,0.9768333621135203
CARBORUNIV,823,-0.013163642934273913,0.9771945049514629
CASTROLIND,821,-0.010585304152057658,0.9816211895185334
CDSL,824,-0.013144605065793442,0.9771996960664979
CENTRALBK,824,-0.014019271590378687,0.9757193593139923
CENTURYPLY,824,-0.013094716657477478,0.9772842655442807
CERA,824,-0.01579710325598073,0.972659875159649
CESC,823,-0.02417263734887586,0.958129539199399
CGPOWER,824,-0.013137536462064467,0.977211677681976
CHALET,823,-0.011773807212977211,0.9795531080633614
CHAMBLFERT,823,-0.011825738251334915,0.9794647744065962
CHENNPETRO,824,-0.01313463750679649,0.9772165916323383
CHOLAFIN,824,-0.013218796742227663,0.9770739554122564
CHOLAHLDNG,823,-0.013710097564558365,0.9762702589507372
CIEINDIA,824,-0.01310594999007055,0.9772652218264126
CLEAN,824,-0.01344774670270927,0.9766861330900042
COALINDIA,824,-0.015355709432299497,0.9734237976362992
COCHINSHIP,819,-0.015475403496832501,0.9732233709051653
COFORGE,824,-0.01341592165271672,0.9767400236716818
COHANCE,822,-0.02017893280624342,0.9650488586542154
COLPAL,822,-0.012523273778963574,0.9783056416375807
CONCOR,823,-0.013127195947746159,0.9772562118155751
CONCORDBIO,824,-0.01314847114403866,0.9771931430064967
COROMANDEL,824,-0.013815015433712005,0.9760646528388526
CRAFTSMAN,819,-0.013220940844398442,0.9771641212693899
CRISIL,824,-0.013681424101403902,0.9762906202210544
CROMPTON,824,-0.013801011107107077,0.9760883360021938
CUB,824,-0.02077913652848812,0.9640374455013784
CUMMINSIND,822,-0.01796924540953744,0.9688834388249625
CYIENT,824,-0.016602581100092,0.9712658306657131
DATAPATTNS,823,-0.013187865521979985,0.9771534990145505
DEEPAKFERT,824,-0.02056188480034141,0.9644134441432219
DELHIVERY,823,-0.012684193877122558,0.9780068635508776
DIVISLAB,824,-0.013094694457430573,0.9772843031804569
DIXON,819,-0.009506122398413815,0.9835052198251243
DLF,823,-0.011802286245998479,0.979504663825398
DMART,823,-0.011697259034130015,0.9796833440392976
ECLERX,823,-0.01243069462520823,0.9784369282685477
EICHERMOT,824,-0.01390569616017986,0.9759113275801365
EIDPARRY,823,-0.014438456592066952,0.9750254123127341
EIHOTEL,824,-0.013849198102038482,0.9760068502641809
ELECON,824,-0.013125287864552316,0.977232440326024
ELGIEQUIP,824,-0.013573745976414357,0.9764728320372247
EMAMILTD,822,-0.014719336471087897,0.9745581372069656
ENDURANCE,822,-0.012999916307283211,0.9774985221490241
ENGINERSIN,823,-0.01281818684249224,0.9777796954694918
ERIS,824,-0.013671908612785942,0.9763067194938825
ESCORTS,821,-0.016795231908636767,0.9708246200966261
ETERNAL,816,-0.011790463218696865,0.9796112989240352
EXIDEIND,820,-0.008736094963600786,0.9848028188269823
FACT,821,-0.010665574186362351,0.9814862591176043
FINCABLES,823,-0.012187463603885104,0.9788499285112205
FINPIPE,824,-0.013936422731501027,0.9758593852444483
FLUOROCHEM,824,-0.013145372823062844,0.9771983946995384
FORTIS,823,-0.016112577924006763,0.9720823736864254
FSL,822,-0.010541877025232566,0.9816751627744166
GAIL,822,-0.014528303332618318,0.9748541547961582
GESHIP,823,-0.01436107396015831,0.9751517682117065
GICRE,822,-0.01225498310223928,0.9787605364309512
GILLETTE,823,-0.012760410955409533,0.9778776342167016
GLAXO,823,-0.012763533556043523,0.9778723404412796
GLENMARK,824,-0.013067089124373531,0.9773311052876237
GMDCLTD,824,-0.01625378990931962,0.9718694853069728
GMRAIRPORT,824,-0.013873344156520053,0.9759660236361654
GODFRYPHLP,822,-0.016291164631697632,0.9717553285784539
GODREJCP,824,-0.013072223780334253,0.9773223996478146
GODREJIND,823,-0.011823138915346601,0.9794691954463253
GODREJPROP,817,-0.011851876089420713,0.9795254372596983
GPPL,823,-0.01587585407472063,0.9724949106937508
GRANULES,821,-0.009939332763786847,0.9827251213527836
GRAPHITE,823,-0.013874038578364126,0.9759909435961172
GRASIM,823,-0.012667954693633137,0.9780344021990355
GRINDWELL,824,-0.013106615065251886,0.977264094356662
GRSE,823,-0.01182765896666108,0.979461507613787
GSFC,824,-0.014370630865757749,0.9751259602809875
GVT&D,824,-0.013678940316221464,0.9762948224905995
HAL,823,-0.015515259998376234,0.9731688107030204
HDFCAMC,821,-0.02550909473084249,0.9559110427237254
HDFCLIFE,824,-0.01289012875163831,0.977631230571081
HEG,822,-0.011597622064467716,0.9798769016747669
HEROMOTOCO,822,-0.027404159196824193,0.9525444504711099
HFCL,821,-0.01202469693666996,0.9791740289587265
HINDALCO,823,-0.013335082135942006,0.9768954083083298
HINDCOPPER,820,-0.018347435563137816,0.9681598906445911
HINDPETRO,820,-0.012183567532643052,0.9788390605487778
HINDUNILVR,824,-0.013068670643093921,0.9773284238582732
HINDZINC,824,-0.01312615163760718,0.9772309761121307
HONAUT,824,-0.014026954446430083,0.9757063762698948
HSCL,822,-0.011792797764055276,0.979545178270969
HUDCO,821,-0.024217250359814573,0.9580725125149886
ICICIBANK,824,-0.012793162465197724,0.9777957638499931
ICICIPRULI,824,-0.012931105534434552,0.9775617174351656
IDEA,821,-0.010834839750439966,0.981197965391016
IDFCFIRSTB,823,-0.012447036242211386,0.9784091931017257
IEX,824,-0.013091372978383845,0.9772899341818793
IIFL,824,-0.016119863021129156,0.9721012732356374
INDIACEM,823,-0.01287971605523603,0.9776754158441617
INDIANB,822,-0.012534865652327403,0.9782859968019284
INDIGO,823,-0.013500322151739765,0.9766248557500655
INDUSTOWER,822,-0.01506029641718706,0.9739370653465587
INOXWIND,823,-0.014233464440308088,0.975340702492354
INTELLECT,822,-0.012158447914626929,0.9789135201634585
IOB,824,-0.013911172566410522,0.9759020694767825
IOC,821,-0.05575310285125463,0.9036348257318664
IPCALAB,823,-0.014362260828258188,0.9751151336732524
IRB,823,-0.01469934646721549,0.9745906423382432
IRCON,824,-0.013170832198607155,0.9771552424113575
IRFC,824,-0.026186589500471254,0.9546787398623319
ITI,824,-0.015091269268230347,0.9738814655378946
JBCHEPHARM,823,-0.014372826184676774,0.9751237260763504
JBMA,822,-0.013070281167865603,0.9773311947690678
JINDALSAW,822,-0.012659876351741327,0.9780741903439317
JINDALSTEL,823,-0.011659257892237372,0.9797480105095527
JMFINANCIL,823,-0.015311070292187963,0.9735059247438146
JSL,819,-0.010771652320934466,0.981340156112042
JSWENERGY,821,-0.012228240223866869,0.9787706757066623
JSWSTEEL,824,-0.01355246276176987,0.9765088553249187
JUBLFOOD,824,-0.01411847155018136,0.9755517506355917
JUBLINGREA,821,-0.00950835061337047,0.9834617940107946
JUBLPHARMA,819,-0.015169775712694261,0.9737042935587409
JUSTDIAL,822,-0.012491026526600483,0.9783602954511047
JYOTHYLAB,822,-0.015918844880088063,0.9724539172207276
JYOTICNC,823,-0.013697422817584213,0.9762695377089217
KAJARIACER,824,-0.013405066996667736,0.9767584056385447
KALYANKJIL,820,-0.009657760989102569,0.9832115718394953
KARURVYSYA,820,-0.015520456724405997,0.9731365284314287
KAYNES,824,-0.01310722510138555,0.9772630601942313
KEC,823,-0.013591629106695667,0.976470482109344
KEI,819,-0.011180015731040598,0.9806214317996295
KFINTECH,823,-0.013479785708847327,0.9766595836567205
KIMS,823,-0.011811930291699638,0.9794882599146627
KIRLOSBROS,824,-0.01308442177546539,0.9773017189712783
KIRLOSENG,824,-0.013697873026548743,0.9762627915062995
KPIL,822,-0.016305343488308328,0.9718262869403806
KPITTECH,824,-0.013719590569173733,0.9762260516389538
KPRMILL,822,-0.013797829421171161,0.9761229839817941
LALPATHLAB,823,-0.012058093916173808,0.9790697371032924
LATENTVIEW,824,-0.01381234749875488,0.9760691645801259
LAURUSLABS,823,-0.019105307120027563,0.9669401537205554
LEMONTREE,824,-0.013744765475880657,0.9761834663614546
LICHSGFIN,820,-0.01429344110870158,0.97526588501481
LICI,824,-0.02191898474042288,0.9620647045558794
LINDEINDIA,823,-0.02109024607126012,0.9634595048722677
LODHA,821,-0.014696993040858024,0.97456347404934
LT,824,-0.015492059345410238,0.9731878161664048
LTF,823,-0.013328340320557922,0.9769074400872155
LTFOODS,824,-0.013973584685173413,0.9757965714773854
LUPIN,820,-0.01722862496073432,0.9701755239955026
M&M,823,-0.02145417056394602,0.9628252545343486
MAHABANK,824,-0.013118625903496984,0.9772437334118863
MANAPPURAM,821,-0.012327799685780556,0.9786550995925908
MANYAVAR,823,-0.012507087961669817,0.9783072861867894
MAPMYINDIA,824,-0.01380656533724214,0.9760789429289619
MARICO,824,-0.013018724910899688,0.9774131128272955
MARUTI,823,-0.013027040511875376,0.9774240398494803
MAXHEALTH,824,-0.01473147539429081,0.9745041625774026
MCX,820,-0.01816637256612599,0.9685684710643285
MEDANTA,821,-0.023382617864791722,0.9596183569498464
MFSL,824,-0.013053681332993065,0.9773538384869038
MGL,822,-0.013591387173256812,0.976481384458141
MHRIL,824,-0.013089988055451087,0.977292282101756
MINDACORP,824,-0.013039966731017144,0.9773770929843358
MMTC,822,-0.02853484233348725,0.9506264808388408
MOTHERSON,823,-0.01247136094060922,0.9783679118760182
MOTILALOFS,823,-0.016312386271574077,0.9718023343408088
MPHASIS,823,-0.012520911627620882,0.9782838306277437
MRF,822,-0.014850891896958133,0.9743276058635071
MRPL,823,-0.016277961463453127,0.9717984148384822
MSUMI,824,-0.013101567832705066,0.9772726507506447
MUTHOOTFIN,823,-0.01319401237693154,0.9771387077437904
NAM-INDIA,818,-0.008670965173705733,0.9849251875853104
NATCOPHARM,822,-0.016837508959391,0.9708473281373456
NATIONALUM,824,-0.013125650378314457,0.9772318258149026
NAUKRI,822,-0.013852601074743232,0.9760486670771226
NAVA,823,-0.013585536662654309,0.9764807811497705
NAVINFLUOR,822,-0.013522425989769058,0.9765877017516342
NAZARA,824,-0.01350527518335487,0.9765887329891969
NBCC,822,-0.01693753051666257,0.9707217718111211
NCC,821,-0.011957527065929974,0.9792600188061701
NESTLEIND,824,-0.013469132020111301,0.9766499238496553
NETWEB,824,-0.017311418317255845,0.9700390425834481
NEULANDLAB,824,-0.015044908080089915,0.9739617030758132
NEWGEN,824,-0.016200579335727085,0.971961577110215
NHPC,823,-0.011819522530629992,0.9794753463837763
NIACL,824,-0.013115751782347432,0.9772486055859447
NLCINDIA,824,-0.01562775439404286,0.972952968073706
NMDC,823,-0.015198247397011035,0.9736883063956037
NSLNISP,823,-0.013212273044377372,0.9771121834862008
NTPC,818,-0.011721833116606085,0.9796870064163441
NUVAMA,822,-0.011371346816490614,0.980261763654355
NYKAA,821,-0.010363015604796166,0.9820020002720886
OFSS,821,-0.022990475685596867,0.9603067731602245
OIL,821,-0.020563723036686205,0.9644276329378958
OLECTRA,823,-0.014902378899100586,0.9741811113291765
ONGC,823,-0.013930778163297458,0.9758975062356613
PATANJALI,822,-0.012216806709413622,0.9788253000193626
PAYTM,821,-0.010663766499369953,0.9814893388909767
PCBL,821,-0.011779592806156623,0.9795797400325972
PERSISTENT,822,-0.01270797250086147,0.9779908219661193
PETRONET,822,-0.0141586255145278,0.9754798902504463
PFC,823,-0.012514860399632623,0.9782940980215388
PHOENIXLTD,820,-0.01230675677995768,0.9786878459451527
PNB,822,-0.011826186930866652,0.9794884520633735
PNBHOUSING,823,-0.012722634947105387,0.9779416807945528
PNCINFRA,824,-0.013157817798611042,0.9771773006513679
POLICYBZR,822,-0.01214203007329926,0.9789521782063456
POLYCAB,822,-0.010685458194542986,0.981430211846647
POLYMED,823,-0.012878194063094381,0.9776779950460601
POONAWALLA,823,-0.013023720013780018,0.9774314450575095
POWERGRID,821,-0.009976167285132315,0.9826622117329552
POWERINDIA,821,-0.03517581968390416,0.9393426813831154
PPLPHARMA,821,-0.012776620177293077,0.9778786250850102
PRAJIND,820,-0.019341767983308476,0.9665925328898193
PRESTIGE,822,-0.011398179249002422,0.9802161097083263
PTCIL,824,-0.013741252516320508,0.9761894085778108
QUESS,824,-0.013686949478669098,0.9762812720686851
RADICO,822,-0.013857073380335767,0.976006855315173
RAINBOW,824,-0.013122537379817032,0.9772371028044246
RAYMOND,824,-0.009612267858071222,0.983224011816361
RBLBANK,823,-0.020230468182257055,0.9649728535196268
RCF,822,-0.011666467484472863,0.9797598653713876
RECLTD,822,-0.019664935578100208,0.9659487030496879
REDINGTON,822,-0.011539058359556195,0.9799764812097321
RKFORGE,822,-0.01327755108999166,0.9770181264887424
RRKABEL,822,-0.01160762848660701,0.979859889152854
RTNINDIA,824,-0.013148118795330612,0.9771937402391461
SAFARI,824,-0.013748951380806906,0.9761763859437975
SAIL,823,-0.014310109937515378,0.9752291059217608
SAMMAANCAP,823,-0.016429903973859714,0.971534081510596
SAREGAMA,823,-0.012934392920976725,0.9775827682303462
SBFC,824,-0.013123956930535413,0.9772346964504613
SBILIFE,822,-0.011978714303991927,0.9792294006703071
SBIN,823,-0.014999809639229113,0.9740467762531162
SCHAEFFLER,823,-0.011776817873897671,0.979547986554329
SCHNEIDER,822,-0.011232148891920797,0.9804986697352805
SCI,824,-0.017248113720040443,0.9701486041633651
SHRIRAMFIN,822,-0.018152130938571074,0.9686219823659242
SHYAMMETL,822,-0.030529201248214104,0.9472912054459331
SIEMENS,822,-0.018395162344495605,0.9681093300149846
SOBHA,818,-0.015412384729518754,0.9733447008554468
SOLARINDS,823,-0.01272042792467518,0.9779454229059907
SONACOMS,824,-0.013145231130676673,0.9771986348712657
STARHEALTH,824,-0.012523382683596465,0.9782538201636541
SUMICHEM,824,-0.013770913854972281,0.9761392383145036
SUNDARMFIN,821,-0.01430094450078094,0.9752917454541434
SUNPHARMA,823,-0.014681394014441695,0.9746057216731551
SUNTECK,824,-0.014160685698692225,0.97548044289367
SUNTV,823,-0.015564439719857076,0.9730325665930741
SUPREMEIND,822,-0.012757785919788996,0.9779083655480102
SUZLON,822,-0.02772409393354838,0.9520739759828838
SWANCORP,821,-0.022709232095012792,0.9607026539295406
SWIGGY,824,-0.013768900019918089,0.9761426444249313
SWSOLAR,823,-0.015150397735576578,0.9738051354224943
SYRMA,822,-0.012062206865951271,0.9790876555282004
TANLA,823,-0.011752572162135887,0.9795892330495366
TATACOMM,823,-0.012365337899808908,0.9785478681224216
TATACONSUM,824,-0.01426725535363712,0.9753004728043944
TATAELXSI,824,-0.013025592888513201,0.9774014664785887
TATAINVEST,824,-0.029063455835705073,0.9496997330482492
TATAPOWER,824,-0.01377650882215398,0.9761297753623217
TATASTEEL,823,-0.014952107652963436,0.974142744867521
TBOTEK,824,-0.013358210528419142,0.976837763310686
TECHM,824,-0.013908910312365966,0.9759058938945233
TEJASNET,823,-0.012747214242508215,0.9779000073662512
THERMAX,824,-0.013127239505237006,0.9772291320334158
TITAGARH,824,-0.013145968796090307,0.9771973845133727
TMPV,824,-0.015002766121156114,0.9740346383728482
TORNTPHARM,824,-0.013622545355182234,0.9763902458034812
TORNTPOWER,822,-0.014580387962276894,0.9747284493754098
TRENT,821,-0.012422906049591379,0.9784659115961023
TRITURBINE,822,-0.012739360168266859,0.9779290678550019
TRIVENI,823,-0.013123756753974702,0.9772620349726792
TTML,824,-0.015434695579967779,0.9732870959193504
TVSMOTOR,819,-0.01828842418951397,0.9683647694957611
UCOBANK,824,-0.013166885832618772,0.9771619310423353
UJJIVANSFB,824,-0.013112034144507359,0.9772549077509594
UNIONBANK,823,-0.01473138205626698,0.9744755862370773
UNITDSPR,823,-0.014613723432045585,0.9746742913325436
UNOMINDA,822,-0.011387407387773895,0.9802344369420449
USHAMART,824,-0.013145343493349797,0.9771984444140407
UTIAMC,824,-0.016029531647660585,0.972257610191066
VAIBHAVGBL,824,-0.013122000429444045,0.977238013019908
VARROC,823,-0.013479734586374194,0.9766596701098502
VBL,823,-0.013388908423745084,0.97681329025623
VEDL,819,-0.01596076497763252,0.9723899333058706
VIJAYA,820,-0.012250584655823816,0.9787966399539122
VOLTAS,822,-0.011288063017716508,0.980403493663752
VTL,824,-0.013559639916907347,0.9764967072049008
WAAREEENER,824,-0.013063296233552351,0.9773375361084952
WELCORP,822,-0.01248111765636709,0.9783770905904748
WELSPUNLIV,822,-0.010513408727401167,0.9817237445043947
WESTLIFE,824,-0.013635910858274718,0.9763676289655494
WHIRLPOOL,823,-0.013333879044349914,0.9769063885065628
WIPRO,824,-0.013092727661742716,0.9772876375393776
WOCKPHARMA,824,-0.013149412488307945,0.9771915474272953
YESBANK,824,-0.013151382144965413,0.9771882088747269
ZEEL,824,-0.012431249092521933,0.9784103511641419
ZFCVINDIA,824,-0.01337779818522403,0.9768045874355211
ZYDUSLIFE,822,-0.01349455671821056,0.976654230950108
