Omitted_Symbol,Remaining_Entry_Count,Setup_Mean_Return,Setup_Return_PF,Practical_Mean_R,Practical_R_PF
SHYAMMETL,84,-0.015429121656658837,0.540247888209665,-0.14053850516402075,0.7148123415501546
SOLARINDS,83,-0.01571814938608351,0.5295552882375778,-0.1497975191813596,0.6948289358175677
SUMICHEM,84,-0.014446571612157526,0.5636540269372838,-0.1285993420352772,0.7362830668261384
SUNDARMFIN,84,-0.014365269155336056,0.5650415820955494,-0.12622308669756707,0.739888510029559
SUNTV,84,-0.015592223266831004,0.5353878377556136,-0.1458985157544463,0.7039355439937424
SWSOLAR,84,-0.017398358580051638,0.48156918605848914,-0.1607276352837848,0.6738435640732985
TATAPOWER,84,-0.014270828732455752,0.5666619586633086,-0.12352863787776824,0.744019699501076
TEJASNET,84,-0.014090202349594485,0.5697871127065995,-0.1267218199076815,0.7391288676361932
TITAN,84,-0.015092613128201001,0.5502750634459934,-0.1395396204836459,0.7168393275546311
TORNTPHARM,84,-0.014620682358238945,0.5607053549909704,-0.12677181267272572,0.7390528074733623
TORNTPOWER,84,-0.014517728584273613,0.5624452007698494,-0.12704832525675366,0.7386323973340208
TRENT,84,-0.014693528171358888,0.559480800683255,-0.12977416587516388,0.7345134803463271
VTL,84,-0.014403917515515332,0.5643811357616403,-0.12639553875801685,0.7396256641940955
WELSPUNLIV,84,-0.014674943974875338,0.5597926966565002,-0.13132804601180448,0.7321859618488052
